iter	Passed	Remaining
975	9470	232
976	9481	223
977	9490	213
978	9502	203
979	9515	194
980	9532	184
981	9543	174
982	9556	165
983	9568	155
984	9578	145
985	9590	136
986	9599	126
987	9612	116
988	9621	107
989	9629	97
990	9643	87
991	9656	77
992	9667	68
993	9680	58
994	9692	48
995	9704	38
996	9718	29
997	9729	19
998	9740	9
999	9751	0
